comment;calificacion
"Respecto a otros IDE que toca iniciar de cero para probar el codigo, UNCode facilita esto de modo que no toque escribir las entradas cada vez que corre el codigo y la herramienta de verificacion de linea por linea ayuda mucho cuando se inicia en un lenguaje.";"De acuerdo"
"Por la facilidad en plantear problemas y ejercicios por parte de los profesores";"De acuerdo"
"Ya que la interfaz no me parece muy comoda y el hecho de que el editor no tenga algunas opciones te hace estar mas tiempo corrigiendo la escritura que programando";"Algo en desacuerdo"
"Mediante la realizacion de los talleres, el ejercicio de verificar errores y pensar en la solucion  del problema permitio al aprendizaje en busqueda de completar en 100% los talleres propuestos";"De acuerdo"
"Fue un buen programa con una buena cantidad de talleres los cuales fueron muy utiles para el desarrollo de solucion de problemas";"Totalmente de acuerdo"
"permitio el analisis de codigo y la prueba de este";"De acuerdo"
"Debido a que no hay necesidad de descargar otros programas adicionales, la herramienta es completa y tiene opciones utiles para ver lo que se esta desarrollando. Es de mucha utilidad para desarrollar la teoria vista en clase.";"Totalmente de acuerdo"
"La mejor forma de aprender cualquier cosa es practicando y por medio de la plataforma uncode podemos practicar lo aprendido";"De acuerdo"
"Es una herramienta que ofrece herramientas muy utiles a la hora de programar, permite ver los errores que cometio al estudiante ademas de ofrecer alternativas para solucionar los mismos. Ademas ofrece flexibilidad a los docentes para la evaluacion de estos ejercicios en lo personal pienso que es una muy buena herramienta que deberia seguirse utilizando.";"Totalmente de acuerdo"
"Entender una teoria es un poco complejo cuando no se ponen en practica los conceptos, mas aun cuando se trata de sintaxis y lenguajes de programacion, la herramienta permite practicar todo aquello que es visto en clase de manera en que surgen nuevas dudas que aportan al aprendizaje";"Totalmente de acuerdo"
"Porque permite poner en practica los  conocimientos que se adquieren en la materia";"De acuerdo"
"Porque me permitia practicar algunas conceptos aprendidos en clase";"De acuerdo"
"Por las herramientas que brindaba para entender el codigo.";"De acuerdo"
"Es una herramienta facil de usar, sencilla y util a la hora de practicar, interactiva tambien";"Totalmente de acuerdo"
"Nos da la oportunidad de ver el resultado que se quiere y el que se tiene";"De acuerdo"
"Mediante UNCode, pude realizar muchos ejercicios que me permitieron profundizar y poner a prueba mis conocimientos de los lenguajes que estaba aprendiendo. Por las herramientas con las que disponia, era capaz de ver mis errores para poder corregirlos adecuadamente en el futuro. Sin embargo, la plataforma no siempre me decia el tipo de error que habia cometido, se  caia  con frecuencia y habia situaciones donde no era acorde a otras plataformas que tenian el mismo objetivo que UNCode, por lo que podia confundirme aun mas de lo que me ayudaria.";"De acuerdo"
"Nos permitia ejemplos para corregir nuestro codigo y tenia herramientas para evaluar el codigo linea a linea";"De acuerdo"
"Facilita el uso de una interfaz de manera rapida y accesible";"Totalmente de acuerdo"
"ya que proporcionaba todas las herramientas necesarias para practicar y mejorar las habilidades basicas (y esenciales) de programacion tanto en c++ como en python 3";"Totalmente de acuerdo"
"Porque nos permitio realizar los ejercicios de talleres, y fue de gran utilidad para verificar que lo que presentamos estaba bien.";"De acuerdo"
"Como plataforma virtual ayuda mucho si no tienes un editor de codigo en el PC";"De acuerdo"
"porque la plataforma nos dio una manera practica de aprenderlo";"De acuerdo"
"Es una muy buena herramienta sin embargo en ocasiones se cae y se pierden algunos trabajos";"Algo de acuerdo"
"Las herramientas de test y visualize son muy utiles a la hora de encontrar errores";"Totalmente de acuerdo"
"El planteamiento de los ejercicios es claro y el debugger es una herramienta muy util para encontrar errores";"Totalmente de acuerdo"
"El compilador de vez en cuando presenta fallos en su estructura los cuales hay que solventar de maneras poco convencionales";"Algo en desacuerdo"
"Excelente  debido a que se trabaja online. Y creo que esto es fundamental debido a  que la comunidad universitaria la gran mayoria no cuenta con PC de ultima generacion";"Totalmente de acuerdo"
"La plataforma nos facilita programar en el lenguaje que estemos poniendo en practica y nos pone a prueba con diferentes ejercicios";"De acuerdo"
"A veces es poco practico y da errores por cosas que no deberia";"Algo en desacuerdo"
"Es una plataforma que corre bastante bien los programas vistos en clase, muy rara vez existen errores por parte de la plataforma, tambien a veces se congela la pagina sin razon alguna. Pero si hablamos del resto es una plataforma excelente. Resalto la herramienta que nos permite ver que sucede con el codigo linea por linea.";"De acuerdo"
"Los talleres dejados por el profesor, refuerzan lo que el ensena.";"Totalmente de acuerdo"
"Porque considero que los ejercicios son muy practicos y permiten emplear todas las herramientas aprendidas durante las clases";"Totalmente de acuerdo"
"ES UNA MANERA MUY ACERTADA DE DESARROLLAR TALLERES";"De acuerdo"
"Porque permite visualizar el funcionamiento del codigo.";"Totalmente de acuerdo"
"Permite realizar ejercicios de forma practica y sencilla";"De acuerdo"
"Fue muy util la proposicion de problemas reales aunque sencillos, con los criterios necesarios para un desarrollo automatizado.";"Totalmente de acuerdo"
"porque puedo ver el funcionamiento del codigo paso a paso";"De acuerdo"
"Es una herramienta muy util para practicar los distintos lenguajes de programacion dado las pautas y retroalimentacion que el sistema provee";"De acuerdo"
"Porque asegura que estamos tomando todos los errores posibles que puede generar el codigo que estamos creando";"Totalmente de acuerdo"
"En general me parece una herramienta que es util para evaluar ejercicios de programacion, al momento de aprendar no hace mucha diferencia";"De acuerdo"
"Es eficiente a la hora de revisar los programas";"De acuerdo"
"Me parecia que tenia herramientas utiles, como (en mi caso con el lenguaje python) ver como funcionaba paso a paso el programa, y saber si funcionaba para los tests propuestos";"De acuerdo"
"Mostraba cuando se equivocaba, aunque en ocasiones era algo complicado encontrar el error, le exigia al estudiante pero no era exagerado";"De acuerdo"
"Porque se puede mirar paso a paso que hace o no hace un programa";"De acuerdo"
"Es complejo programar,se me dificulta mucho";"Algo de acuerdo"
"No lo usamos muchas veces, y al usarlo, nos obligaba a mejorar el programa";"Algo de acuerdo"
"La interfaz no es muy amable con el usuario inicial, la escritura es mucho mas estricta.";"Algo de acuerdo"
"es una buena plataforma";"Algo de acuerdo"
"Fue util porque me enseno estrictamente a manejar condiciones establecidas para la ejecucion de un codigo";"Algo de acuerdo"
"El metodo de evaluar los programas por casos permite que uno desarrolle un enfoque integro en el momento de crear el bloque de codigo";"De acuerdo"
"Poder visualizar el flujo del codigo fue bastante util.";"Totalmente en desacuerdo"
